Gender,Age,Under30,SeniorCitizen,Married,NumberofDependents,Latitude,Longitude,Population,Number_of_Referrals,TenureinMonths,Offer,PhoneService,AvgMonthlyLongDistanceCharges,MultipleLines,InternetType,AvgMonthlyGBDownload,OnlineSecurity,OnlineBackup,DeviceProtectionPlan,PremiumTechSupport,StreamingTV,StreamingMovies,StreamingMusic,UnlimitedData,Contract,PaperlessBilling,PaymentMethod,MonthlyCharge,TotalCharges,TotalRefunds,TotalExtraDataCharges,TotalLongDistanceCharges,TotalRevenue,SatisfactionScore
Male,37,No,No,No,0,33.945318,-117.992066,19109,0,35,,Yes,25.51,No,Fiber Optic,16,No,No,Yes,No,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,85.15,3030.6,0.0,0,892.85,3923.45,1
Male,54,No,No,No,0,34.903052,-118.411251,14931,0,1,Offer E,No,0.0,No,Cable,29,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,35.9,35.9,0.0,0,0.0,35.9,1
Male,24,Yes,No,Yes,1,33.721917,-118.043237,32304,4,35,Offer C,Yes,41.02,No,,0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,20.05,746.75,0.0,0,1435.7,2182.45,3
Male,23,Yes,No,No,0,37.305622,-122.000887,37570,0,7,Offer E,Yes,21.58,No,Fiber Optic,71,No,No,Yes,No,No,No,Yes,No,Month-to-Month,No,Mailed Check,74.65,544.55,0.0,10,151.06,705.61,3
Female,41,No,No,Yes,0,39.672813,-120.456699,322,8,68,Offer A,Yes,17.12,Yes,,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,25.8,1911.5,0.0,0,1164.16,3075.66,4
Male,22,Yes,No,No,0,32.85723,-117.209774,34902,0,2,Offer E,Yes,40.43,Yes,Cable,27,No,No,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.65,181.5,0.0,0,80.86,262.36,1
Female,21,Yes,No,No,1,34.018354,-117.85492,45118,0,1,Offer E,Yes,32.73,Yes,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,25.4,25.4,0.0,0,32.73,58.13,3
Female,37,No,No,Yes,0,34.827662,-118.999073,4498,2,9,,Yes,42.39,No,Cable,16,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,65.6,593.3,0.0,0,381.51,974.81,3
Male,33,No,No,No,0,33.958149,-118.308441,47107,0,36,Offer C,Yes,8.5,No,,0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,18.55,689.0,0.0,0,306.0,995.0,3
Female,32,No,No,No,0,39.710591,-123.682799,176,0,9,Offer E,Yes,45.99,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,20.45,147.55,0.0,0,413.91,561.46,4
Female,32,No,No,Yes,1,34.255442,-118.421314,97318,10,16,,Yes,20.12,No,Cable,30,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,68.25,1114.85,0.0,0,321.92,1436.77,3
Female,21,Yes,No,Yes,2,37.424342,-122.165641,13386,1,44,,Yes,4.17,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.6,780.25,0.0,0,183.48,963.73,5
Female,46,No,No,Yes,0,37.573633,-122.455167,38885,3,12,,Yes,25.09,Yes,Cable,17,Yes,No,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,78.85,876.75,0.0,0,301.08,1177.83,3
Female,49,No,No,Yes,0,37.540582,-122.509594,2346,10,63,Offer B,Yes,20.37,Yes,Fiber Optic,26,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,108.75,6871.7,0.0,0,1283.31,8155.01,5
Male,40,No,No,Yes,0,38.636102,-120.522149,659,10,72,Offer A,Yes,48.44,Yes,Cable,15,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,No,Bank Withdrawal,82.3,5815.15,0.0,0,3487.68,9302.83,3
Female,40,No,No,No,3,34.044271,-118.185237,55668,0,1,,Yes,13.58,No,DSL,24,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,59.2,59.2,0.0,0,13.58,72.78,1
Female,47,No,No,Yes,3,34.613476,-118.256358,34045,5,47,,Yes,3.95,No,,0,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,21.3,1041.8,0.0,0,185.65,1227.45,4
Male,50,No,No,Yes,3,37.505768,-121.962472,56126,5,35,Offer C,Yes,1.53,No,Fiber Optic,57,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,89.7,3165.6,0.0,0,53.55,3219.15,4
Female,32,No,No,No,0,37.980057,-121.801599,90891,0,3,,Yes,23.82,Yes,Fiber Optic,24,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,74.4,215.8,0.0,0,71.46,287.26,3
Male,61,No,No,Yes,0,40.936285,-121.572692,344,1,64,,Yes,4.76,No,Fiber Optic,8,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,104.05,6605.55,0.0,0,304.64,6910.19,4
Female,64,No,No,Yes,0,33.507255,-117.029473,46171,1,40,Offer B,Yes,2.03,Yes,Fiber Optic,19,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.85,3303.05,0.0,0,81.2,3384.25,2
Male,34,No,No,Yes,0,38.803731,-121.043799,1173,9,10,Offer D,Yes,21.85,No,DSL,9,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,54.95,568.85,0.0,0,218.5,787.35,3
Female,39,No,No,Yes,0,33.723579,-118.005441,58764,1,58,Offer B,Yes,27.99,Yes,Fiber Optic,24,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.45,6144.55,0.0,0,1623.42,7767.97,1
Male,52,No,No,Yes,0,34.165383,-118.123752,38460,1,65,Offer B,Yes,19.84,Yes,Fiber Optic,2,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,90.65,5931.0,0.0,110,1289.6,7330.6,5
Male,80,No,Yes,Yes,0,36.125529,-120.864443,521,0,1,Offer E,Yes,39.1,No,Fiber Optic,27,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.3,70.3,0.0,0,39.1,109.4,1
Female,27,Yes,No,Yes,2,38.349195,-121.902943,171,9,46,,No,0.0,No,DSL,52,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,35.05,1620.25,0.0,0,0.0,1620.25,3
Male,65,No,Yes,Yes,0,37.680844,-122.48131,63337,6,19,,No,0.0,No,DSL,14,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,34.3,577.15,0.0,0,0.0,577.15,5
Female,21,Yes,No,No,0,38.805481,-120.13287,25,0,68,Offer A,Yes,14.86,No,Cable,59,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Credit Card,82.45,5646.6,0.0,90,1010.48,6747.08,3
Male,50,No,No,No,0,38.672638,-121.147403,51855,0,28,Offer C,Yes,13.69,No,Fiber Optic,12,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,91.25,2483.65,0.0,0,383.32,2866.97,5
Female,28,Yes,No,Yes,2,39.084645,-120.894014,8525,1,71,Offer A,Yes,20.49,No,,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.9,1397.3,0.0,0,1454.79,2852.09,3
Female,63,No,No,No,0,37.830267,-121.201018,36738,0,60,Offer B,Yes,39.41,Yes,,0,No,No,No,No,No,No,No,No,Two Year,No,Mailed Check,25.0,1505.05,0.0,0,2364.6,3869.65,3
Male,37,No,No,Yes,3,39.003358,-121.022539,3747,7,70,,Yes,3.67,No,Fiber Optic,28,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,106.15,7475.1,0.0,0,256.9,7732.0,4
Male,47,No,No,No,0,38.224869,-119.755729,235,0,17,Offer D,Yes,47.45,Yes,DSL,5,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,65.75,1111.2,0.0,0,806.65,1917.85,4
Female,74,No,Yes,Yes,0,34.70434,-120.02609,1317,2,34,,Yes,12.33,No,Cable,23,No,No,Yes,Yes,Yes,No,No,Yes,One Year,No,Bank Withdrawal,64.2,2106.3,0.0,0,419.22,2525.52,4
Female,57,No,No,No,0,33.876482,-118.284077,9960,0,45,Offer B,Yes,37.39,No,DSL,30,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,81.65,3618.7,0.0,0,1682.55,5301.25,3
Female,65,No,Yes,No,0,40.524535,-122.647172,911,0,46,,Yes,16.04,Yes,DSL,26,No,No,Yes,Yes,No,Yes,Yes,Yes,One Year,Yes,Credit Card,69.1,3255.35,0.0,0,737.84,3993.19,3
Male,64,No,No,Yes,2,37.900662,-122.052782,40917,6,22,,Yes,36.15,Yes,DSL,11,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,78.65,1663.75,0.0,0,795.3,2459.05,3
Male,73,No,Yes,Yes,0,33.881158,-117.854783,48170,10,72,Offer A,Yes,1.34,Yes,Fiber Optic,30,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,93.05,6735.05,0.0,0,96.48,6831.53,3
Male,77,No,Yes,Yes,0,33.653338,-117.178271,14068,1,29,Offer C,Yes,37.65,Yes,DSL,9,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,51.6,1442.0,0.0,0,1091.85,2533.85,5
Male,41,No,No,No,0,37.873283,-121.292034,5094,0,8,Offer E,Yes,30.8,No,DSL,27,No,Yes,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,66.65,520.95,0.0,0,246.4,767.35,4
Female,34,No,No,No,0,33.60693,-117.644253,46227,0,1,,Yes,2.24,No,Fiber Optic,6,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.15,70.15,0.0,0,2.24,72.39,3
